,location,rent (KSh),bedrooms,bathrooms,titles,owner,listed
0,"00, General mathenge, Westlands Area, Westlands","170,000",3,3,3 bedroom apartment for rent in Westlands Area,, Today
1,"Kilimani, Dagoretti North","120,000",3,3,3 bedroom apartment for rent in Kilimani,, 15 hours ago
2,"Westlands Area, Westlands","220,000",3,3,3 bedroom apartment for rent in Westlands Area,, Today
3,"Westlands Area, Westlands","320,000",5,5,5 bedroom apartment for rent in Westlands Area,, Today
4,"Westlands Area, Westlands","299,000",3,3,3 bedroom apartment for rent in Westlands Area,, Today
5,"Westlands Area, Westlands","90,000",3,3,3 bedroom apartment for rent in Westlands Area,, Today
6,"00, Hatheru, Lavington, Dagoretti North","120,000",3,3,3 bedroom apartment for rent in Lavington,, Today
7,"Kileleshwa, Dagoretti North","110,000",2,2,2 bedroom apartment for rent in Kileleshwa,, Today
8,"Denis pritt, Kilimani, Dagoretti North","200,000",2,2,Furnished 2 bedroom apartment for rent in Kilimani,,
9,"Riverside close, Riverside, Westlands","160,000",3,3,3 bedroom apartment for rent in Riverside,,
10,"Roysambu Area, Roysambu","30,000",2,1,2 bedroom apartment for rent in Roysambu Area,,
11,"Riverside drive, Riverside, Westlands","130,000",2,2,2 bedroom apartment for rent in Riverside,,
12,"Kahawa West, Roysambu","35,000",2,2,2 bedroom apartment for rent in Kahawa West,,
13,"Riara rd, Lavington, Dagoretti North","180,000",2,2,Furnished 2 bedroom apartment for rent in Lavington,,
14,"Matundu lane, Brookside, Westlands","300,000", 3, 3,Furnished 3 bedroom apartment for rent in Brookside,,
15,"00, General mathenge, General Mathenge, Westlands","110,000",2,2,2 bedroom apartment for rent in General Mathenge,, Today
16,"Karen, Langata","80,000", 3,3,3 bedroom apartment for rent in Karen,, Today
