Title,rent_amt,location,bedrooms,bathrooms,owner,listed_on
"
3 bedroom apartment 4 rent in General Mathenge
","KSh 200,000","
General Mathenge, Westlands
","
3
","
4
",, Yesterday
"
2 bedroom apartment 4 rent in State House
","KSh 70,000","
State House Crescent, State House Crescent, State House, Dagoretti North
","
2
","
2
",,
"
3 bedroom apartment 4 rent in Kileleshwa
","KSh 260,000","
Kileleshwa, Dagoretti North
","
3
","
3
",, Today
"
4 bedroom apartment 4 rent in Kileleshwa
","KSh 200,000","
Kileleshwa, Dagoretti North
","
4
","
4
",, Today
"
3 bedroom apartment 4 rent in Kileleshwa
","KSh 85,000","
Kileleshwa, Dagoretti North
","
3
","
3
",, Today
"
3 bedroom apartment 4 rent in Kileleshwa
","KSh 90,000","
Kileleshwa, Dagoretti North
","
3
","
3
",, Today
"
4 bedroom apartment 4 rent in Kileleshwa
","KSh 150,000","
Kileleshwa, Dagoretti North
","
4
","
4
",, Today
"
2 bedroom apartment 4 rent in Kilimani
","KSh 130,000","
Kilimani, Dagoretti North
","
2
","
2
","
Geoscape Global Limited
", Today
"
4 bedroom apartment 4 rent in Riverside
","KSh 220,000 ","
Riverside, Westlands
","
4
","
5
","
Geoscape Global Limited
", Today
"
4 bedroom apartment 4 rent in Westlands Area
","KSh 170,000","
Westlands Area, Westlands
","
4
","
4
","
Geoscape Global Limited
", Today
"
3 bedroom apartment 4 rent in Kilimani
","KSh 130,000","
Kilimani, Dagoretti North
","
3
","
3
","
Geoscape Global Limited
", Today
"
3 bedroom apartment 4 rent in Westlands Area
","KSh 230,000","
Westlands Area, Westlands
","
3
","
3
","
Geoscape Global Limited
", Today
"
3 bedroom apartment 4 rent in Westlands Area
","KSh 170,000","
Westlands Area, Westlands
","
3
","
3
","
Geoscape Global Limited
", Today
"
3 bedroom apartment 4 rent in Westlands Area
","KSh 270,000","
Westlands Area, Westlands
","
3
 ","
3
","
Geoscape Global Limited
", Today
"
3 bedroom apartment 4 rent in Westlands Area
","KSh 120,000","
Westlands Area, Westlands
","
176 m²
","
3
",, Today
"
3 bedroom apartment 4 rent in Rhapta Road
","KSh 80,000","
Rhapta road, Rhapta Road, Westlands
","
1 ac
","
3
",,
"
3 bedroom apartment 4 rent in Westlands Area
","KSh 230,000","
Westlands Area, Westlands
","
230 m²
","
3
",, Today
