rent_amt,title,location
"KSh 120,000","
3 bedroom apartment 4 rent in Kilimani
","
Kilimani, Dagoretti North
"
"KSh 200,000","
3 bedroom apartment 4 rent in General Mathenge
","
General Mathenge, Westlands
"
"KSh 150,000","
2 bedroom apartment 4 rent in Westlands Area
","
 Westlands Area, Westlands
"
"KSh 260,000","
3 bedroom apartment 4 rent in Kileleshwa
","
Kileleshwa, Dagoretti North
"
"KSh 200,000","
4 bedroom apartment 4 rent in Kileleshwa
","
Kileleshwa, Dagoretti North
"
"KSh 85,000","
3 bedroom apartment 4 rent in Kileleshwa
","
Kileleshwa, Dagoretti North
"
"KSh 90,000","
3 bedroom apartment 4 rent in Kileleshwa
","
Kileleshwa, Dagoretti North
"
"KSh 150,000","
4 bedroom apartment 4 rent in Kileleshwa
","
Kileleshwa, Dagoretti North
"
"KSh 130,000","
2 bedroom apartment 4 rent in Kilimani
","
Kilimani, Dagoretti North
"
"KSh 220,000","
4 bedroom apartment 4 rent in Riverside
","
Riverside, Westlands
"
"KSh 170,000","
4 bedroom apartment 4 rent in Westlands Area
","
Westlands Area, Westlands
"
"KSh 130,000","
3 bedroom apartment 4 rent in Kilimani
","
Kilimani, Dagoretti North
"
"KSh 230,000","
3 bedroom apartment 4 rent in Westlands Area
","
Westlands Area, Westlands
"
"KSh 170,000","
3 bedroom apartment 4 rent in Westlands Area
","
Westlands Area, Westlands
"
"KSh 270,000","
3 bedroom apartment 4 rent in Westlands Area
","
Westlands Area, Westlands
"
"KSh 120,000","
3 bedroom apartment 4 rent in Westlands Area
","
Westlands Area, Westlands
"
"KSh 80,000","
3 bedroom apartment 4 rent in Rhapta Road
","
Rhapta road, Rhapta Road, Westlands
"
